name,funding_amount,city,country,industry,funding_stage,description,investors,startup_age,team_background,traction_indicators,valuation,round_type,language,region_category,company_website,article_keywords,url,publish_date,founder_linkedin
Chipiron,14900000.0,Paris,France,"DeepTech, Medical Imaging",Series A,Chipiron is developing a miniaturized MRI scanner to make this critical imaging technology accessible worldwide.,"Blast, EIC Fund, iXcore, France2030 (SGI), EIC Accelerator (European Commission), ADD (Bpifrance), Exor Ventures, Unruly Capital",2020,"Evan Kervella (CEO), Dimitri Labat (CSO)","First prototypes ready for hospital deployment, clinical trials scheduled to begin in 2026, total funding surpassed €19 million",,Series A,English,EU,,"DeepTech, MRI, medical imaging, healthcare, R&D, clinical trials",https://www.eu-startups.com/2025/04/french-deeptech-chipiron-raises-e14-million-to-make-mris-as-accessible-as-x-rays/,"April 30, 2025",
iwell,27000000.0,Utrecht,Netherlands,"energy tech, smart energy management, battery storage systems",Funding round,Developer of smart energy management (EMS) and battery storage systems (BESS) for the commercial and industrial sector.,"Meridiam, Invest-NL, Rabobank",2016,"Founder and CEO Jan Willem de Jong with hands-on experience in both software and hardware, AI-driven energy platform, international track record.","400 partners, offices in Belgium, Germany, and the UK, partnership with DAF Trucks.",,,English,EU,,"energy tech, smart energy management, battery storage, energy transition, grid reliability, AI-driven platform",https://www.eu-startups.com/2025/04/dutch-startup-iwell-raises-e27-million-to-deploy-its-european-smart-battery-storage-solutions-into-new-markets/,"April 29, 2025",
IXI,32200000.0,Espoo,Finland,"wearable technology, optics, industrial design",Series A,IXI is developing the world’s first autofocus glasses to disrupt the eyewear market with dynamic lenses that automatically adapt to the wearer’s eyes.,"Plural, Tesi, byFounders, Heartcore, Eurazeo, FOV Ventures, Tiny Supercomputer, Maki.vc, First Fellow, Amazon Alexa Fund, Firstminute Capital, John Lindfors, Illusian, Bragiel Brothers",3,"Co-founders Niko Eiden and Ville Miettinen previously co-founded Varjo, a mixed reality hardware startup, with experience in advanced optics and eye-tracking solutions.","Product development of IXI Adaptive Eyewear underway, aiming to launch first-generation product.",,Series A,English,EU,,"autofocus glasses, eyewear, vision tech, dynamic lenses, presbyopia",https://www.eu-startups.com/2025/04/finnish-startup-raises-e30-million-for-worlds-first-autofocus-glasses-that-work-as-nature-intended/,"April 29, 2025",
Navro,36000000.0,London,UK,"FinTech, international payments",Series B,Navro simplifies international payments for businesses by enabling them to access quality payment and banking infrastructure worldwide through one contract and one API.,"Jump Capital, Bain Capital Ventures, Motive Partners, Unusual Ventures",2022,"Aran Brown (CEO), deep market insight, executional rigor, product clarity","Processing workforce and supplier payments for hundreds of large corporations and more than 1,000 pension schemes, supports cross-border collections, currency conversion, and global payouts in over 200 countries and 140 currencies",,Series B,English,UK,,"FinTech, international payments, global expansion, compliance, cross-border transactions, real-time payments",https://www.eu-startups.com/2025/04/british-fintech-startup-navro-raises-e36-million-for-payments-curation-platform/,"April 29, 2025",
EWOR,60000000.0,Berlin,Germany,"Founder fellowship, entrepreneurship support",Series A,A Founder fellowship that supports early-stage entrepreneurs with capital and mentorship.,"EWOR GmbH, Luxembourg-based investment fund",3,"Entrepreneurs who have built companies worth over €12 billion, including SumUp, Adjust, ProGlove, united-domains, and Sigma Squared Society","35,000 applicants each year, 35 entrepreneurs accepted, alumni have raised €1-11 million during the fellowship",43800000,Series A,English,EU,,"Founder fellowship, early-stage entrepreneurs, mentorship, unicorn Founder, virtual-first, decentralised, borderless",https://www.eu-startups.com/2025/04/german-founder-fellowship-ewor-earmarks-e60-million-for-founder-prodigies-to-scale-faster-and-globally/,"April 29, 2025",
TaxDown,4000000.0,Spain,Spain,"Fintech, AI, Tax",Not specified,TaxDown is an AI-powered platform that helps people manage their taxes by automatically analyzing current regulations to apply relevant deductions.,"Bonsai Partners, Base10, JME Ventures, 4Founders, Atresmedia, Mediaset",2019,"Founders: Enrique García, Álvaro Falcones, Joaquín Fernández","Over €10 million in revenue, 2 million personal income tax returns simulated, 30,000 user reviews with a 4.7-star rating on Google, leading market in filing volume in Spain and Mexico",Not specified,Not specified,English,EU,Not specified,"AI, tax, fintech, funding, Spain, Latin America, Bonsai Partners",https://www.eu-startups.com/2025/04/madrid-based-taxdown-raises-e4-million-to-double-down-on-ai-and-redefine-the-future-of-tax-services/,"April 22, 2025",Not specified
CSignum,6900000.0,Bathgate,UK,"wireless communications, underwater IoT, environmental monitoring",Series A,"CSignum specializes in wireless communication systems for submerged environments, using patented electromagnetic field signalling (EMFS) technology.","Archangels, Par Equity, Scottish Enterprise, British Business Investment (BBI), Raptor Group, Deep Future, SeaAhead’s Blue Angel Network, individual US investors",2020,,"Clients across the UK, EU, and US; product used in water quality monitoring, ship maintenance, and underwater infrastructure security; CSignum Cloud platform for data services",,Series A,English,UK,,"wireless communications, submerged environments, EM-2 technology, underwater IoT, environmental monitoring, AMP8 initiative",https://www.eu-startups.com/2025/04/edinburgh-based-csignum-raises-over-e6-9-million-to-scale-breakthrough-underwater-wireless-technology/,"April 22, 2025",
Lovable,45000000.0,Stockholm,Sweden,"Artificial Intelligence, Automation",Early,Customisable tools for automation,Not mentioned,Not mentioned,Not mentioned,Leading the charge in AI agents,Not mentioned,Early,English,EU,Not mentioned,"AI, investment, Europe, startups, automation",https://www.eu-startups.com/2025/04/ai-keeps-the-lights-on-european-startups-double-down-on-ai-as-funding-declines-elsewhere/,"April 17, 2025",Not mentioned
Hammer Missions,1600000.0,London,UK,"AI, Drone Technology, Building Inspection",Seed,"AI software firm specializing in helping owners, architects, engineers, and contractors inspect built structures using drones and AI.","ACF Investors, Graham Hunter, Martin Grant, Stephen Bullock",2019,"Varun Sarwal (CEO), ex-Atkins, serial tech investors","Used in over 20,000 drone flights and 5,000 3D data projects, working with leading AEC firms like Thornton Thomasetti and SGH",,Seed,English,UK,,"AI, drone technology, building inspection, Building Safety Act, 3D data, North America expansion",https://www.eu-startups.com/2025/04/british-drone-startup-hammer-missions-secures-e1-6-million-to-expand-to-usa/,"April 17, 2025",
Skillvue,5500000.0,Milan,Italy,"HR, AI",Seed,"AI platform for HR-related duties, innovating how companies identify, measure, and develop skills across candidates and employees.","360 Capital, Italian Founders Fund, 14Peaks Capital, Orbita Verticale",3,"Nicolò Mazzocchi (CEO and Co-founder), Simone Patera (Co-founder), Dr Tony Lee (AI researcher), dedicated Psychometric Team, Customer Success team with People Scientists","Increased ARR by 8x between 2023 and 2024, team to double from 14 to 30 full-time employees by end of 2025, client portfolio includes Unipol, Douglas, Carrefour, Credem, Randstad",,Seed,English,EU,,"AI, HR, skills assessment, recruitment, talent management, workforce performance, pre-employment tests, skills-based approach",https://www.eu-startups.com/2025/05/italian-hrtech-skillvue-raises-e5-5-million-to-enable-companies-to-adopt-a-skills-based-approach/,"May 5, 2025",
Solena Materials,5900000.0,London,UK,"sustainable textiles, high-performance textiles, fashion, sports apparel, technical textiles",Seed,"A startup developing a new generation of sustainable, high-performance textiles using a new class of fibres.","Sir David Harding, SynBioVen, Insempra",2,"ex-Imperial researchers, PhDs","pre-Seed funding in 2022, partnership with well-known fashion brands, production scaling",,Seed,English,UK,,"sustainable textiles, protein fibres, AI, engineered microbes, biodegradable, fashion brands, materials discovery",https://www.eu-startups.com/2025/05/british-startup-solena-materials-raises-e5-9-million-to-create-next-generation-textiles-powered-by-synthetic-biology/,"May 5, 2025",
,,,,,,,,,,,,,,,,,https://www.eu-startups.com/2025/05/weekly-funding-round-up-all-of-the-european-startup-funding-rounds-we-tracked-this-week-apr-28-may-2/,"May 2, 2025",
Arondite,10500000.0,London,UK,"DefenceTech, AI",Seed,Arondite builds AI to transform how defence organisations safely deliver human-machine teaming at scale.,"Index Ventures, Concept Ventures, Creator Fund",2023,"Former British Army Officer, ex-Palantir, ex-Helsing, lead engineer at BAE Systems, Founding Engineer at Garrison Technology","Early use cases in minefield clearance and counter-intrusion efforts, connecting disparate hardware for safer deployment of autonomous tools",,Seed,English,UK,,"DefenceTech, AI, human-machine teaming, autonomous systems, defence organisations, robotics",https://www.eu-startups.com/2025/05/connecting-the-battlefield-british-startup-arondite-raises-over-10-5-million-to-link-defence-systems-with-ai/,"May 2, 2025",
Hilo,37000000.0,Neuchatel,Switzerland,"HealthTech, Medical Devices",Series B,Hilo provides cuffless blood pressure monitoring solutions using AI algorithms to offer convenient and accurate measurements.,"Earlybird Health, Wellington Partners, Kfund, naturalX Health Ventures, redalpine, Khosla Ventures, Molten Ventures, Translink Capital, Verve Ventures",6,Multidisciplinary team with over 120 peer-reviewed publications and more than 35 patents,"CE marking for mobile phone camera blood pressure monitoring, regulatory approvals in Canada, Australia, and Saudi Arabia, 76% compounded annual revenue growth, pivotal clinical trial completed ahead of U.S. FDA application submission",88000000,Series B,English,EU,https://www.hilo.com,"blood pressure, AI, health monitoring, medical devices, Series B funding",https://www.eu-startups.com/2025/05/swiss-healthtech-startup-aktiia-raises-e37-million-for-blood-pressure-platform-and-rebrands-to-hilo/,"May 2, 2025",
Esgrid,900000.0,Tallinn,Estonia,"ESG risk management, supplier management, AI automation",pre-Seed,"An ESG risk management platform that automates supply chain ESG data collection, analytics, reporting and engagement for SMEs.","2C Ventures, Startup Wise Guys, Greenco Ventures, Lemonade Stand",2023,"Oksana Tolmatšova, Co-founder and CEO","Dozens of flagship customers in Europe, including multiple publicly listed companies; launched AI-based supplier evaluation template generator",,Pre-Seed,English,EU,,"ESG, supplier management, AI automation, SaaS, supply chain resilience",https://www.eu-startups.com/2025/04/estonian-startup-esgrid-raises-e900k-for-supplier-management-for-smes/,"April 16, 2025",
Sequana Medical,24000000.0,Ghent,Belgium,"medical devices, healthcare",extended financing,"pioneer in treating fluid overload for liver disease, heart failure, and cancer","Partners in Equity, EQT, GEM Global Yield LLC SCS",18,CEO Ian Crosbie,"FDA approval for Pre-Market Approval (PMA) application, US commercial launch planned for mid-Q3 2025, targeting 90 liver transplant centres",,extended financing,English,EU,,"fluid overload, liver disease, heart failure, cancer, alfapump, FDA approval, US commercial launch, Direct Sodium Removal (DSR) therapy",https://www.eu-startups.com/2025/03/healthtech-startup-sequana-medical-secures-e24-million-to-fuel-us-launch-of-alfapump/,"March 18, 2025",
Channel Capital,17700000000.0,,Europe,"Tech, Venture Capital",,Channel Capital provides analysis and reports on Europe's innovation economy and startup funding.,Walter Gontarek,,"Walter Gontarek, CEO & Chair",250 of Europe’s fastest-growing Tech startups have raised a total of €17.7 billion since their inception,,,,,,"VC investment, debt costs, regulatory landscape, compliance, fines, European Accessibility Act, GDPR, AI Act, Digital Services Act, MiCA, AML",https://www.eu-startups.com/2025/03/are-eu-startups-in-trouble-funding-woes-and-compliance-risks-loom-large/,"March 18, 2025",
Bioniq,1000000.0,London,UK,"personalised nutritional supplements, health tech",Series B,AI-driven personalised supplements based on blood test data.,"Diogo Dalot, Cristiano Ronaldo, HV Capital, Unbound",2019,"Vadim Fedotov (former player for the German national basketball team), James Hardy","300k users, products available in 70 countries, 10x user growth in 2024, partnerships with Lanserhof and UFC",74800000,Series B,English,UK,,"personalised nutrition, health optimisation, supplements, blood biomarker data, athletes, investment",https://www.eu-startups.com/2025/03/bioniqs-winning-formula-diogo-dalot-joins-cristiano-ronaldo-with-over-e1-million-investment/,"March 18, 2025",
